id,source_title,source_org,publication_year,source_type,source_url,accessed_at
1,Mixed crop-livestock farming - What is mixed farming?,FAO,,Report chapter,https://www.fao.org/3/Y0501E/y0501e03.htm,2026-02-04
2,Mixed crop-livestock farming - Integrating crops and livestock,FAO,,Report chapter,https://www.fao.org/4/y0501e/y0501e07.htm,2026-02-04
3,Mixed crop-livestock farming - Foreword,FAO,,Report foreword,https://www.fao.org/4/y0501e/y0501e01.htm,2026-02-04
4,A classification of livestock production systems,FAO,,Technical article,https://www.fao.org/4/v8180t/v8180t0y.htm,2026-02-04
5,Chapter 1. Introduction (Mixed farming systems definition and scope),FAO,,Report chapter,https://www.fao.org/4/x5478e/x5478e02.htm,2026-02-04
6,Mixed-farming system; mixed farming (Glossary),UN ESCWA (FAO source),1999,Glossary entry,https://www.unescwa.org/sd-glossary/mixed-farming-system-mixed-farming,2026-02-04
7,Integrated crop-livestock systems - a key to sustainable intensification in Africa,Tropical Grasslands-Forrajes Tropicales (CIAT),2013,Journal article,https://www.tropicalgrasslands.info/index.php/tgft/article/view/87,2026-02-04
8,Policies for the Future of Farming and Food in the European Union,OECD,2023,Report,https://www.oecd.org/content/dam/oecd/en/publications/reports/2023/10/policies-for-the-future-of-farming-and-food-in-the-european-union_1eda4da6/32810cf6-en.pdf,2026-02-04
9,Farming Systems and Poverty - Mixed Farming System (Central Europe),FAO,,Report chapter,https://www.fao.org/3/Y1860E/y1860e06.htm,2026-02-04
10,Farming Systems and Poverty - East Asia and Pacific,FAO,,Report chapter,https://www.fao.org/3/y1860e/y1860e08.htm,2026-02-04
11,Farming Systems and Poverty - South Asia,FAO,,Report chapter,https://www.fao.org/4/ac349e/ac349e07.htm,2026-02-04
